statecensus,co_type,value
Alabama,child_3_5_parent_nursing_facilities_co,1252.6692741869776
Alabama,child_3_5_parent_nursing_facilities_co_nwa,1161.1787568783914
Alabama,child_3_5_parent_nursing_facilities_co_sib,818.7662480855244
Alabama,child_3_5_parent_nursing_facilities_co_ptw,629.722843863857
Alabama,child_3_5_parent_all_co,6746.135220952574
Alabama,child_3_5_parent_all_co_nwa,5560.258583771569
Alabama,child_3_5_parent_all_co_sib,4544.011450661477
Alabama,child_3_5_parent_all_co_ptw,3618.744819335896
Alabama,child_6_11_parents_co,136700.1852953735
Alabama,child_6_11_parents_co_nwa,73000.1610857314
Alabama,child_6_11_parents_co_sib,50900.28796671479
Alabama,child_6_11_parents_co_ptw,39115.1445943902
Alabama,child_6_11_parent_essential_co,49435.05638264531
Alabama,child_6_11_parent_essential_co_nwa,37934.62520652616
Alabama,child_6_11_parent_essential_co_sib,24926.532049268957
Alabama,child_6_11_parent_essential_co_ptw,20475.19781076487
Alabama,child_6_11_parent_hospital_co,5561.1006333580435
Alabama,child_6_11_parent_hospital_co_nwa,4273.76249883847
Alabama,child_6_11_parent_hospital_co_sib,2658.2651178386755
Alabama,child_6_11_parent_hospital_co_ptw,2407.940586878581
Alabama,child_6_11_parent_hospitals_plus_co,8705.161974603874
Alabama,child_6_11_parent_hospitals_plus_co_nwa,6925.42561610393
Alabama,child_6_11_parent_hospitals_plus_co_sib,4434.969375279643
Alabama,child_6_11_parent_hospitals_plus_co_ptw,3356.6874826078197
Alabama,child_6_11_parent_nursing_facilities_co,2111.584214040375
Alabama,child_6_11_parent_nursing_facilities_co_nwa,1319.9837181929918
Alabama,child_6_11_parent_nursing_facilities_co_sib,974.1927206625968
Alabama,child_6_11_parent_nursing_facilities_co_ptw,654.261614053856
Alabama,child_6_11_parent_all_co,10816.746188644249
Alabama,child_6_11_parent_all_co_nwa,8245.409334296923
Alabama,child_6_11_parent_all_co_sib,5409.162095942239
Alabama,child_6_11_parent_all_co_ptw,4010.949096661676
Alabama,child_12_17_parents_co,140199.1020807132
Alabama,child_12_17_parents_co_nwa,79361.57006628742
Alabama,child_12_17_parents_co_sib,11475.948126243924
Alabama,child_12_17_parents_co_ptw,9236.352490116446
Alabama,child_12_17_parent_essential_co,53911.947193285356
Alabama,child_12_17_parent_essential_co_nwa,43850.299890998715
Alabama,child_12_17_parent_essential_co_sib,5893.262849422403
Alabama,child_12_17_parent_essential_co_ptw,4879.730498922875
Alabama,child_12_17_parent_hospital_co,5447.451516983079
Alabama,child_12_17_parent_hospital_co_nwa,4810.192227437999
Alabama,child_12_17_parent_hospital_co_sib,582.4467679841753
Alabama,child_12_17_parent_hospital_co_ptw,450.29914180516556
Alabama,child_12_17_parent_hospitals_plus_co,8075.570126492321
Alabama,child_12_17_parent_hospitals_plus_co_nwa,6854.226928952984
Alabama,child_12_17_parent_hospitals_plus_co_sib,1105.786031632047
Alabama,child_12_17_parent_hospitals_plus_co_ptw,793.6428530099306
Alabama,child_12_17_parent_nursing_facilities_co,2306.876702324741
Alabama,child_12_17_parent_nursing_facilities_co_nwa,2069.8289742967645
Alabama,child_12_17_parent_nursing_facilities_co_sib,187.9868580502421
Alabama,child_12_17_parent_nursing_facilities_co_ptw,147.70893949279196
Alabama,child_12_17_parent_all_co,10382.446828817063
Alabama,child_12_17_parent_all_co_nwa,8924.05590324975
Alabama,child_12_17_parent_all_co_sib,1293.7728896822894
Alabama,child_12_17_parent_all_co_ptw,941.3517925027226
Alabama,child_any_parents_co,405804.2847717099
Alabama,child_any_parents_co_nwa,217581.78486510328
Alabama,child_any_parents_co_sib,119178.41690195337
Alabama,child_any_parents_co_ptw,94465.28701442435
Alabama,child_any_parent_essential_co,146502.25462830975
Alabama,child_any_parent_essential_co_nwa,115613.01357371006
Alabama,child_any_parent_essential_co_sib,59872.73985289795
Alabama,child_any_parent_essential_co_ptw,49278.7282869012
Alabama,child_any_parent_hospital_co,18097.313116114627
Alabama,child_any_parent_hospital_co_nwa,14750.37586082491
Alabama,child_any_parent_hospital_co_sib,8164.825643460149
Alabama,child_any_parent_hospital_co_ptw,7022.782981553838
Alabama,child_any_parent_hospitals_plus_co,25436.694074672145
Alabama,child_any_parent_hospitals_plus_co_nwa,20546.771326557166
Alabama,child_any_parent_hospitals_plus_co_sib,11313.936728129027
Alabama,child_any_parent_hospitals_plus_co_ptw,8839.273600699718
Alabama,child_any_parent_nursing_facilities_co,6528.159190091707
Alabama,child_any_parent_nursing_facilities_co_nwa,5344.362203894074
Alabama,child_any_parent_nursing_facilities_co_sib,2620.5281609918275
Alabama,child_any_parent_nursing_facilities_co_ptw,1948.3613202031613
Alabama,child_any_parent_all_co,31964.853264763853
Alabama,child_any_parent_all_co_nwa,25891.133530451243
Alabama,child_any_parent_all_co_sib,13934.464889120856
Alabama,child_any_parent_all_co_ptw,10787.63492090288
Alaska,child_0_2_parents_co,11378.447009847083
Alaska,child_0_2_parents_co_nwa,4917.55061632441
Alaska,child_0_2_parents_co_sib,4325.359779811871
Alaska,child_0_2_parents_co_ptw,2897.7134674543145
Alaska,child_0_2_parent_essential_co,3700.940328032363
Alaska,child_0_2_parent_essential_co_nwa,2569.915237387153
Alaska,child_0_2_parent_essential_co_sib,2243.332396530077
Alaska,child_0_2_parent_essential_co_ptw,1692.2845214591455
Alaska,child_0_2_parent_hospital_co,526.08573554842
Alaska,child_0_2_parent_hospital_co_nwa,434.9107854231913
Alaska,child_0_2_parent_hospital_co_sib,344.68909785758404
Alaska,child_0_2_parent_hospital_co_ptw,267.3990909290662
Alaska,child_0_2_parent_hospitals_plus_co,653.160652357643
Alaska,child_0_2_parent_hospitals_plus_co_nwa,540.836641908215
Alaska,child_0_2_parent_hospitals_plus_co_sib,450.61495434260775
Alaska,child_0_2_parent_hospitals_plus_co_ptw,354.66817537679174
Alaska,child_0_2_parent_nursing_facilities_co,111.38572816442658
Alaska,child_0_2_parent_nursing_facilities_co_nwa,80.93194159748772
Alaska,child_0_2_parent_nursing_facilities_co_sib,59.54930096721137
Alaska,child_0_2_parent_nursing_facilities_co_ptw,59.54930096721137
Alaska,child_0_2_parent_all_co,764.5463805220696
Alaska,child_0_2_parent_all_co_nwa,621.7685835057028
Alaska,child_0_2_parent_all_co_sib,510.1642553098191
Alaska,child_0_2_parent_all_co_ptw,414.2174763440031
Alaska,child_3_5_parents_co,13284.786065423319
Alaska,child_3_5_parents_co_nwa,6412.454777142894
Alaska,child_3_5_parents_co_sib,5517.709461068224
Alaska,child_3_5_parents_co_ptw,3863.054662241145
Alaska,child_3_5_parent_essential_co,4953.359719944347
Alaska,child_3_5_parent_essential_co_nwa,3479.2447911943254
Alaska,child_3_5_parent_essential_co_sib,2836.747405928921
Alaska,child_3_5_parent_essential_co_ptw,2237.005910091497
Alaska,child_3_5_parent_hospital_co,525.0436540058176
Alaska,child_3_5_parent_hospital_co_nwa,387.68184568309516
Alaska,child_3_5_parent_hospital_co_sib,357.83256411810197
Alaska,child_3_5_parent_hospital_co_ptw,283.1630972852421
Alaska,child_3_5_parent_hospitals_plus_co,862.7713871961104
Alaska,child_3_5_parent_hospitals_plus_co_nwa,685.5177430675825
Alaska,child_3_5_parent_hospitals_plus_co_sib,629.125668111297
Alaska,child_3_5_parent_hospitals_plus_co_ptw,465.15995794592175
Alaska,child_3_5_parent_nursing_facilities_co,94.0992401862138
Alaska,child_3_5_parent_nursing_facilities_co_nwa,34.32121933711474
Alaska,child_3_5_parent_nursing_facilities_co_sib,34.32121933711474
Alaska,child_3_5_parent_nursing_facilities_co_ptw,25.774560793309053
Alaska,child_3_5_parent_all_co,956.8706273823242
Alaska,child_3_5_parent_all_co_nwa,719.8389624046972
Alaska,child_3_5_parent_all_co_sib,663.4468874484119
Alaska,child_3_5_parent_all_co_ptw,490.93451873923084
Alaska,child_6_11_parents_co,24784.2382924213
Alaska,child_6_11_parents_co_nwa,12607.325970902844
Alaska,child_6_11_parents_co_sib,9285.78962948689
Alaska,child_6_11_parents_co_ptw,6471.518614887696
Alaska,child_6_11_parent_essential_co,10133.774317586714
Alaska,child_6_11_parent_essential_co_nwa,7245.969749143522
Alaska,child_6_11_parent_essential_co_sib,5057.601765245807
Alaska,child_6_11_parent_essential_co_ptw,3776.8327964874406
Alaska,child_6_11_parent_hospital_co,867.7847321396347
Alaska,child_6_11_parent_hospital_co_nwa,648.8963211451195
Alaska,child_6_11_parent_hospital_co_sib,430.09673235134363
Alaska,child_6_11_parent_hospital_co_ptw,286.14046507685254
Alaska,child_6_11_parent_hospitals_plus_co,1563.343672358389
Alaska,child_6_11_parent_hospitals_plus_co_nwa,1251.8108928673203
Alaska,child_6_11_parent_hospitals_plus_co_sib,783.2239553679636
Alaska,child_6_11_parent_hospitals_plus_co_ptw,468.9969483075247
Alaska,child_6_11_parent_nursing_facilities_co,118.93837365073598
Alaska,child_6_11_parent_nursing_facilities_co_nwa,107.98907920245722
Alaska,child_6_11_parent_nursing_facilities_co_sib,69.73092833856033
Alaska,child_6_11_parent_nursing_facilities_co_ptw,29.40016533797502
Alaska,child_6_11_parent_all_co,1682.282046009125
Alaska,child_6_11_parent_all_co_nwa,1359.7999720697776
Alaska,child_6_11_parent_all_co_sib,852.9548837065239
Alaska,child_6_11_parent_all_co_ptw,498.3971136454997
Alaska,child_12_17_parents_co,23978.518830629342
Alaska,child_12_17_parents_co_nwa,12925.29893391519
Alaska,child_12_17_parents_co_sib,1853.3953622894987
Alaska,child_12_17_parents_co_ptw,1196.9524965281546
Alaska,child_12_17_parent_essential_co,10608.601035000112
Alaska,child_12_17_parent_essential_co_nwa,7603.784223023429
Alaska,child_12_17_parent_essential_co_sib,1070.4992410046718
Alaska,child_12_17_parent_essential_co_ptw,795.5419467159556
Alaska,child_12_17_parent_hospital_co,1069.6963217746759
Alaska,child_12_17_parent_hospital_co_nwa,826.8660476598882
Alaska,child_12_17_parent_hospital_co_sib,157.2564979016883
Alaska,child_12_17_parent_hospital_co_ptw,120.0441418736837
Alaska,child_12_17_parent_hospitals_plus_co,1886.2148545467956
Alaska,child_12_17_parent_hospitals_plus_co_nwa,1358.254450492559
Alaska,child_12_17_parent_hospitals_plus_co_sib,193.54377008555127
Alaska,child_12_17_parent_hospitals_plus_co_ptw,146.12229415771458
Alaska,child_12_17_parent_nursing_facilities_co,207.59454127014973
Alaska,child_12_17_parent_nursing_facilities_co_nwa,162.32914935182237
Alaska,child_12_17_parent_nursing_facilities_co_sib,14.92886771048449
Alaska,child_12_17_parent_nursing_facilities_co_ptw,14.92886771048449
Alaska,child_12_17_parent_all_co,2093.809395816945
Alaska,child_12_17_parent_all_co_nwa,1520.5835998443815
Alaska,child_12_17_parent_all_co_sib,208.47263779603574
Alaska,child_12_17_parent_all_co_ptw,161.05116186819902
Alaska,child_any_parents_co,73425.99019832104
Alaska,child_any_parents_co_nwa,36862.630298285345
Alaska,child_any_parents_co_sib,20982.254232656484
Alaska,child_any_parents_co_ptw,14429.239241111309
Alaska,child_any_parent_essential_co,29396.675400563538
Alaska,child_any_parent_essential_co_nwa,20898.91400074843
Alaska,child_any_parent_essential_co_sib,11208.180808709476
Alaska,child_any_parent_essential_co_ptw,8501.665174754038
Alaska,child_any_parent_hospital_co,2988.610443468548
Alaska,child_any_parent_hospital_co_nwa,2298.3549999112943
Alaska,child_any_parent_hospital_co_sib,1289.874892228718
Alaska,child_any_parent_hospital_co_ptw,956.7467951648445
Alaska,child_any_parent_hospitals_plus_co,4965.490566458937
Alaska,child_any_parent_hospitals_plus_co_nwa,3836.4197283356775
Alaska,child_any_parent_hospitals_plus_co_sib,2056.5083479074196
Alaska,child_any_parent_hospitals_plus_co_ptw,1434.947375787953
Alaska,child_any_parent_nursing_facilities_co,532.0178832715261
Alaska,child_any_parent_nursing_facilities_co_nwa,385.57138948888206
Alaska,child_any_parent_nursing_facilities_co_sib,178.53031635337092
Alaska,child_any_parent_nursing_facilities_co_ptw,129.65289480897994
Alaska,child_any_parent_all_co,5497.508449730463
Alaska,child_any_parent_all_co_nwa,4221.991117824559
Alaska,child_any_parent_all_co_sib,2235.0386642607905
Alaska,child_any_parent_all_co_ptw,1564.6002705969327
Arizona,child_0_2_parents_co,82425.77276295342
Arizona,child_0_2_parents_co_nwa,35000.96991417662
Arizona,child_0_2_parents_co_sib,30502.93598560786
Arizona,child_0_2_parents_co_ptw,19039.45010443362
Arizona,child_0_2_parent_essential_co,25977.310998377827
Arizona,child_0_2_parent_essential_co_nwa,15588.180983332135
Arizona,child_0_2_parent_essential_co_sib,13138.39222221386
Arizona,child_0_2_parent_essential_co_ptw,9068.738621332754
Arizona,child_0_2_parent_hospital_co,2174.665871324719
Arizona,child_0_2_parent_hospital_co_nwa,1458.85801699766
Arizona,child_0_2_parent_hospital_co_sib,1165.6424314467272
Arizona,child_0_2_parent_hospital_co_ptw,730.1285970573041
Arizona,child_0_2_parent_hospitals_plus_co,4518.6216662098695
Arizona,child_0_2_parent_hospitals_plus_co_nwa,2882.3301975440627
Arizona,child_0_2_parent_hospitals_plus_co_sib,2341.082211066788
Arizona,child_0_2_parent_hospitals_plus_co_ptw,1500.6784533547839
Arizona,child_0_2_parent_nursing_facilities_co,1232.0307908857112
Arizona,child_0_2_parent_nursing_facilities_co_nwa,1046.6434529238334
Arizona,child_0_2_parent_nursing_facilities_co_sib,757.253433887448
Arizona,child_0_2_parent_nursing_facilities_co_ptw,587.1509523014827
Arizona,child_0_2_parent_all_co,5750.652457095581
Arizona,child_0_2_parent_all_co_nwa,3928.973650467897
Arizona,child_0_2_parent_all_co_sib,3098.3356449542366
Arizona,child_0_2_parent_all_co_ptw,2087.8294056562663
Arizona,child_3_5_parents_co,110960.77006848971
Arizona,child_3_5_parents_co_nwa,57021.56100530256
Arizona,child_3_5_parents_co_sib,45555.229970815046
Arizona,child_3_5_parents_co_ptw,31822.61806870728
Arizona,child_3_5_parent_essential_co,35485.121309544236
Arizona,child_3_5_parent_essential_co_nwa,23977.7254713598
Arizona,child_3_5_parent_essential_co_sib,19605.91416547521
Arizona,child_3_5_parent_essential_co_ptw,15137.98584993887
Arizona,child_3_5_parent_hospital_co,1995.7193427381424
Arizona,child_3_5_parent_hospital_co_nwa,1228.129177476044
Arizona,child_3_5_parent_hospital_co_sib,923.190264869183
Arizona,child_3_5_parent_hospital_co_ptw,480.98534948068783
Arizona,child_3_5_parent_hospitals_plus_co,4559.285895175377
Arizona,child_3_5_parent_hospitals_plus_co_nwa,3491.132927013142
Arizona,child_3_5_parent_hospitals_plus_co_sib,2710.1346597928846
Arizona,child_3_5_parent_hospitals_plus_co_ptw,2111.3069084187046
Arizona,child_3_5_parent_nursing_facilities_co,1492.8450922272516
Arizona,child_3_5_parent_nursing_facilities_co_nwa,1215.8163305194275
Arizona,child_3_5_parent_nursing_facilities_co_sib,1181.5167039506164
Arizona,child_3_5_parent_nursing_facilities_co_ptw,621.3142537055016
Arizona,child_3_5_parent_all_co,6052.130987402629
Arizona,child_3_5_parent_all_co_nwa,4706.949257532569
Arizona,child_3_5_parent_all_co_sib,3891.6513637435005
Arizona,child_3_5_parent_all_co_ptw,2732.6211621242073
Arizona,child_6_11_parents_co,241078.9554522768
Arizona,child_6_11_parents_co_nwa,131249.95503237227
Arizona,child_6_11_parents_co_sib,90789.63292820225
Arizona,child_6_11_parents_co_ptw,62563.01232569032
Arizona,child_6_11_parent_essential_co,93247.86717027545
Arizona,child_6_11_parent_essential_co_nwa,67643.38770259477
Arizona,child_6_11_parent_essential_co_sib,46249.08936501125
Arizona,child_6_11_parent_essential_co_ptw,35354.00589202037
Arizona,child_6_11_parent_hospital_co,9875.00757250099
Arizona,child_6_11_parent_hospital_co_nwa,7449.485480675394
Arizona,child_6_11_parent_hospital_co_sib,4706.734790711885
Arizona,child_6_11_parent_hospital_co_ptw,3251.964042135115
Arizona,child_6_11_parent_hospitals_plus_co,16657.31571534976
Arizona,child_6_11_parent_hospitals_plus_co_nwa,13297.018783758178
Arizona,child_6_11_parent_hospitals_plus_co_sib,8908.817227339152
Arizona,child_6_11_parent_hospitals_plus_co_ptw,6839.947917332512
Arizona,child_6_11_parent_nursing_facilities_co,3029.5525669055282
Arizona,child_6_11_parent_nursing_facilities_co_nwa,2351.3997477076455
Arizona,child_6_11_parent_nursing_facilities_co_sib,1652.452168332227
Arizona,child_6_11_parent_nursing_facilities_co_ptw,1045.7813558975672
Arizona,child_6_11_parent_all_co,19686.868282255284
Arizona,child_6_11_parent_all_co_nwa,15648.418531465824
Arizona,child_6_11_parent_all_co_sib,10561.269395671377
Arizona,child_6_11_parent_all_co_ptw,7885.729273230078
Arizona,child_12_17_parents_co,252525.53884392144
Arizona,child_12_17_parents_co_nwa,128620.02078735434
Arizona,child_12_17_parents_co_sib,19215.900651550997
Arizona,child_12_17_parents_co_ptw,13309.219873136024
Arizona,child_12_17_parent_essential_co,92741.3450628111
Arizona,child_12_17_parent_essential_co_nwa,62082.02003067794
Arizona,child_12_17_parent_essential_co_sib,8358.422118820781
Arizona,child_12_17_parent_essential_co_ptw,6396.666813770368
Arizona,child_12_17_parent_hospital_co,9460.25425812108
Arizona,child_12_17_parent_hospital_co_nwa,6798.5780701313515
Arizona,child_12_17_parent_hospital_co_sib,1045.4252795482207
Arizona,child_12_17_parent_hospital_co_ptw,964.6328462831048
Arizona,child_12_17_parent_hospitals_plus_co,15217.782758604442
Arizona,child_12_17_parent_hospitals_plus_co_nwa,11616.254414453235
Arizona,child_12_17_parent_hospitals_plus_co_sib,1736.0600461509855
Arizona,child_12_17_parent_hospitals_plus_co_ptw,1596.2534235455878
Arizona,child_12_17_parent_nursing_facilities_co,2730.366457034936
Arizona,child_12_17_parent_nursing_facilities_co_nwa,2289.4698717881242
Arizona,child_12_17_parent_nursing_facilities_co_sib,953.7409333174229
Arizona,child_12_17_parent_nursing_facilities_co_ptw,726.0270739663315
Arizona,child_12_17_parent_all_co,17948.14921563938
Arizona,child_12_17_parent_all_co_nwa,13905.724286241359
Arizona,child_12_17_parent_all_co_sib,2689.8009794684085
Arizona,child_12_17_parent_all_co_ptw,2322.2804975119193
Arizona,child_any_parents_co,686991.0371276414
Arizona,child_any_parents_co_nwa,351892.50673920574
Arizona,child_any_parents_co_sib,186063.69953617614
Arizona,child_any_parents_co_ptw,126734.30037196723
Arizona,child_any_parent_essential_co,247451.6445410086
Arizona,child_any_parent_essential_co_nwa,169291.31418796463
Arizona,child_any_parent_essential_co_sib,87351.8178715211
Arizona,child_any_parent_essential_co_ptw,65957.39717706236
Arizona,child_any_parent_hospital_co,23505.64704468493
Arizona,child_any_parent_hospital_co_nwa,16935.050745280452
Arizona,child_any_parent_hospital_co_sib,7840.992766576015
Arizona,child_any_parent_hospital_co_ptw,5427.710834956212
Arizona,child_any_parent_hospitals_plus_co,40953.00603533945
Arizona,child_any_parent_hospitals_plus_co_nwa,31286.73632276862
Arizona,child_any_parent_hospitals_plus_co_sib,15696.09414434981
Arizona,child_any_parent_hospitals_plus_co_ptw,12048.186702651588
Arizona,child_any_parent_nursing_facilities_co,8484.794907053427
Arizona,child_any_parent_nursing_facilities_co_nwa,6903.329402939031
Arizona,child_any_parent_nursing_facilities_co_sib,4544.963239487714
Arizona,child_any_parent_nursing_facilities_co_ptw,2980.273635870883
Arizona,child_any_parent_all_co,49437.800942392874
Arizona,child_any_parent_all_co_nwa,38190.06572570765
Arizona,child_any_parent_all_co_sib,20241.057383837524
Arizona,child_any_parent_all_co_ptw,15028.460338522471
Arkansas,child_0_2_parents_co,36876.54153539549
Arkansas,child_0_2_parents_co_nwa,19698.642911643597
Arkansas,child_0_2_parents_co_sib,17547.4422673327
Arkansas,child_0_2_parents_co_ptw,12883.42970990394
Arkansas,child_0_2_parent_essential_co,15098.685550763885
Arkansas,child_0_2_parent_essential_co_nwa,11352.069696121323
Arkansas,child_0_2_parent_essential_co_sib,10093.860393477798
Arkansas,child_0_2_parent_essential_co_ptw,7912.59628716173
Arkansas,child_0_2_parent_hospital_co,2154.8818670065084
Arkansas,child_0_2_parent_hospital_co_nwa,1715.0889721151038
Arkansas,child_0_2_parent_hospital_co_sib,1570.003899880242
Arkansas,child_0_2_parent_hospital_co_ptw,995.5649446042223
Arkansas,child_0_2_parent_hospitals_plus_co,2973.632850850227
Arkansas,child_0_2_parent_hospitals_plus_co_nwa,2469.37732602615
Arkansas,child_0_2_parent_hospitals_plus_co_sib,2291.992668447647
Arkansas,child_0_2_parent_hospitals_plus_co_ptw,1672.7217653876246
Arkansas,child_0_2_parent_nursing_facilities_co,794.7488987645474
Arkansas,child_0_2_parent_nursing_facilities_co_nwa,685.8566880707629
Arkansas,child_0_2_parent_nursing_facilities_co_sib,611.6611109874858
Arkansas,child_0_2_parent_nursing_facilities_co_ptw,314.0955543864306
Arkansas,child_0_2_parent_all_co,3768.3817496147744
Arkansas,child_0_2_parent_all_co_nwa,3155.234014096913
Arkansas,child_0_2_parent_all_co_sib,2903.653779435133
Arkansas,child_0_2_parent_all_co_ptw,1986.8173197740552
Arkansas,child_3_5_parents_co,43793.71567322567
Arkansas,child_3_5_parents_co_nwa,24876.405621787162
Arkansas,child_3_5_parents_co_sib,21846.24931329289
Arkansas,child_3_5_parents_co_ptw,16166.407937792403
Arkansas,child_3_5_parent_essential_co,17359.520387892837
Arkansas,child_3_5_parent_essential_co_nwa,13702.70853967593
Arkansas,child_3_5_parent_essential_co_sib,12122.574923717515
Arkansas,child_3_5_parent_essential_co_ptw,9392.82325000956
Arkansas,child_3_5_parent_hospital_co,2407.265036987077
Arkansas,child_3_5_parent_hospital_co_nwa,1757.6773225121217
Arkansas,child_3_5_parent_hospital_co_sib,1508.1806821967339
Arkansas,child_3_5_parent_hospital_co_ptw,1219.2693900053714
Arkansas,child_3_5_parent_hospitals_plus_co,3050.4731414397693
Arkansas,child_3_5_parent_hospitals_plus_co_nwa,2233.3782550302367
Arkansas,child_3_5_parent_hospitals_plus_co_sib,1974.1625409299459
Arkansas,child_3_5_parent_hospitals_plus_co_ptw,1642.4327682770227
Arkansas,child_3_5_parent_nursing_facilities_co,1073.2237396369758
Arkansas,child_3_5_parent_nursing_facilities_co_nwa,1073.2237396369758
Arkansas,child_3_5_parent_nursing_facilities_co_sib,1073.2237396369758
Arkansas,child_3_5_parent_nursing_facilities_co_ptw,759.7656135528547
Arkansas,child_3_5_parent_all_co,4123.696881076746
Arkansas,child_3_5_parent_all_co_nwa,3306.6019946672127
Arkansas,child_3_5_parent_all_co_sib,3047.386280566922
Arkansas,child_3_5_parent_all_co_ptw,2402.1983818298777
Arkansas,child_6_11_parents_co,85820.96173619271
Arkansas,child_6_11_parents_co_nwa,49732.335193525745
Arkansas,child_6_11_parents_co_sib,36807.574370188384
Arkansas,child_6_11_parents_co_ptw,27176.92995885072
Arkansas,child_6_11_parent_essential_co,35665.60569420289
Arkansas,child_6_11_parent_essential_co_nwa,27084.762687404516
Arkansas,child_6_11_parent_essential_co_sib,19873.43623028468
Arkansas,child_6_11_parent_essential_co_ptw,15497.223042861231
Arkansas,child_6_11_parent_hospital_co,3953.3538664130597
Arkansas,child_6_11_parent_hospital_co_nwa,2882.536228206444
Arkansas,child_6_11_parent_hospital_co_sib,2233.5350740988106
Arkansas,child_6_11_parent_hospital_co_ptw,1752.6491565730219
Arkansas,child_6_11_parent_hospitals_plus_co,5626.1651417973
Arkansas,child_6_11_parent_hospitals_plus_co_nwa,4223.029061329751
Arkansas,child_6_11_parent_hospitals_plus_co_sib,3152.2481731427756
Arkansas,child_6_11_parent_hospitals_plus_co_ptw,2525.751468414407
Arkansas,child_6_11_parent_nursing_facilities_co,2148.834548467321
Arkansas,child_6_11_parent_nursing_facilities_co_nwa,1815.4816153560494
Arkansas,child_6_11_parent_nursing_facilities_co_sib,1497.0149154597952
Arkansas,child_6_11_parent_nursing_facilities_co_ptw,1105.0088890608229
Arkansas,child_6_11_parent_all_co,7774.999690264621
Arkansas,child_6_11_parent_all_co_nwa,6038.510676685802
Arkansas,child_6_11_parent_all_co_sib,4649.263088602571
Arkansas,child_6_11_parent_all_co_ptw,3630.7603574752297
Arkansas,child_12_17_parents_co,92113.12498858082
Arkansas,child_12_17_parents_co_nwa,54049.259054756454
Arkansas,child_12_17_parents_co_sib,7175.325529241222
Arkansas,child_12_17_parents_co_ptw,5299.570618063609
Arkansas,child_12_17_parent_essential_co,38023.148261108196
Arkansas,child_12_17_parent_essential_co_nwa,29886.48770431177
Arkansas,child_12_17_parent_essential_co_sib,4071.8163191041704
Arkansas,child_12_17_parent_essential_co_ptw,3117.7642027993234
Arkansas,child_12_17_parent_hospital_co,3888.278276013587
Arkansas,child_12_17_parent_hospital_co_nwa,3220.8876353904084
Arkansas,child_12_17_parent_hospital_co_sib,294.96835651655726
Arkansas,child_12_17_parent_hospital_co_ptw,255.4375170128198
Arkansas,child_12_17_parent_hospitals_plus_co,5815.134864980772
Arkansas,child_12_17_parent_hospitals_plus_co_nwa,4610.764221248721
Arkansas,child_12_17_parent_hospitals_plus_co_sib,489.4490445575129
Arkansas,child_12_17_parent_hospitals_plus_co_ptw,381.0682692237363
Arkansas,child_12_17_parent_nursing_facilities_co,1351.552571500456
Arkansas,child_12_17_parent_nursing_facilities_co_nwa,931.2541510411122
Arkansas,child_12_17_parent_nursing_facilities_co_sib,305.3970691263386
