codes,description
45780,"Toledo, OH"
45820,"Topeka, KS"
45940,"Trenton, NJ"
46060,"Tucson, AZ"
46140,"Tulsa, OK"
46220,"Tuscaloosa, AL**"
46340,"Tyler, TX"
46520,"Urban Honolulu, HI"
46540,"Utica-Rome, NY"
46660,"Valdosta, GA**"
46700,"Vallejo-Fairfield, CA"
46940,"Vero Beach, FL"
47020,"Victoria, TX**"
47220,"Vineland-Bridgeton, NJ"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47300,"Visalia-Porterville, CA"
47380,"Waco, TX"
47580,"Warner Robins, GA"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47940,"Waterloo-Cedar Falls, IA"
48060,"Watertown-Fort Drum, NY"
48140,"Wausau, WI"
48620,"Wichita, KS"
48660,"Wichita Falls, TX"
48700,"Williamsport, PA"
49020,"Winchester, VA-WV"
49180,"Winston-Salem, NC"
49340,"Worcester, MA-CT"
49420,"Yakima, WA**"
49620,"York-Hanover, PA"
49660,"Youngstown-Warren-Boardman, OH-PA"
49740,"Yuma, AZ"
70750,"Bangor, ME"
70900,"Barnstable Town, MA"
71650,"Boston-Cambridge-Quincy, MA-NH"
71950,"Bridgeport-Stamford-Norwalk, CT"
72400,"Burlington-South Burlington, VT"
72850,"Danbury, CT"
73450,"Hartford-West Hartford-East Hartford, CT"
74500,"Leominster-Fitchburg-Gardner, MA"
75700,"New Haven, CT"
76450,"Norwich-New London, CT-RI"
76750,"Portland-South Portland, ME"
77200,"Providence-Fall River-Warwick, RI-MA"
77350,"Rochester-Dover, NH-ME"
78100,"Springfield, MA-CT"
78700,"Waterbury, CT"
79600,"Worcester, MA-CT "
